family,trial,params,cv_log_loss
xgboost,30,"{""n_estimators"": 461, ""learning_rate"": 0.031912646880721464, ""max_depth"": 6, ""subsample"": 0.6317201338837227, ""colsample_bytree"": 0.9593270234693783, ""min_child_weight"": 8, ""reg_alpha"": 1.1671989790572646, ""reg_lambda"": 7.500105417424366e-05}",0.5445370714012985
xgboost,31,"{""n_estimators"": 332, ""learning_rate"": 0.022116864313715075, ""max_depth"": 3, ""subsample"": 0.7744440823495653, ""colsample_bytree"": 0.9934724642901652, ""min_child_weight"": 10, ""reg_alpha"": 0.0029118917331642544, ""reg_lambda"": 4.615167492567398e-06}",0.5399431604822521
xgboost,32,"{""n_estimators"": 391, ""learning_rate"": 0.018164130978193554, ""max_depth"": 2, ""subsample"": 0.7355327239653067, ""colsample_bytree"": 0.9994511583551913, ""min_child_weight"": 10, ""reg_alpha"": 0.015112093326160177, ""reg_lambda"": 6.143706706719393e-06}",0.5415860797636927
xgboost,33,"{""n_estimators"": 329, ""learning_rate"": 0.012533117634739481, ""max_depth"": 3, ""subsample"": 0.8349721590658712, ""colsample_bytree"": 0.97014896113184, ""min_child_weight"": 10, ""reg_alpha"": 0.001247638961340332, ""reg_lambda"": 3.605466159670657e-07}",0.5425492539217506
xgboost,34,"{""n_estimators"": 357, ""learning_rate"": 0.02050634811857151, ""max_depth"": 4, ""subsample"": 0.7934004213209044, ""colsample_bytree"": 0.9162286182808758, ""min_child_weight"": 3, ""reg_alpha"": 0.15515840416219986, ""reg_lambda"": 4.9919670716330285e-08}",0.5858378918809719
xgboost,35,"{""n_estimators"": 276, ""learning_rate"": 0.016572266873652406, ""max_depth"": 3, ""subsample"": 0.7090036392317395, ""colsample_bytree"": 0.9634971387946804, ""min_child_weight"": 9, ""reg_alpha"": 0.00019319517314710544, ""reg_lambda"": 0.00012817078537623124}",0.5429152084858945
xgboost,36,"{""n_estimators"": 311, ""learning_rate"": 0.03744256140393763, ""max_depth"": 2, ""subsample"": 0.755809249990578, ""colsample_bytree"": 0.8410473355363078, ""min_child_weight"": 7, ""reg_alpha"": 2.4654853747749725e-06, ""reg_lambda"": 0.0032818096622325298}",0.5585271354749223
xgboost,37,"{""n_estimators"": 265, ""learning_rate"": 0.024395909470922638, ""max_depth"": 4, ""subsample"": 0.8731339297521742, ""colsample_bytree"": 0.8801345990892825, ""min_child_weight"": 10, ""reg_alpha"": 3.018117710963578e-05, ""reg_lambda"": 7.074268990499586e-07}",0.5438354510984368
xgboost,38,"{""n_estimators"": 222, ""learning_rate"": 0.04445968647895084, ""max_depth"": 5, ""subsample"": 0.9119445787802267, ""colsample_bytree"": 0.9529073646243448, ""min_child_weight"": 8, ""reg_alpha"": 2.293019763195943e-07, ""reg_lambda"": 0.00043477718306567873}",0.5655102492179698
xgboost,39,"{""n_estimators"": 392, ""learning_rate"": 0.032306842830942616, ""max_depth"": 3, ""subsample"": 0.5001639984379164, ""colsample_bytree"": 0.9139498314646587, ""min_child_weight"": 5, ""reg_alpha"": 7.59391581041169e-06, ""reg_lambda"": 7.702842310308633e-06}",0.5562842361507564
lightgbm,0,"{""n_estimators"": 232, ""learning_rate"": 0.2880916270296799, ""max_depth"": 4, ""num_leaves"": 23, ""subsample"": 0.6662344148718063, ""colsample_bytree"": 0.6298183572475926, ""min_child_samples"": 32, ""reg_alpha"": 6.344180134466968e-07, ""reg_lambda"": 4.529626120422824e-07}",0.8159610628872254
lightgbm,1,"{""n_estimators"": 445, ""learning_rate"": 0.1474038562021931, ""max_depth"": 2, ""num_leaves"": 93, ""subsample"": 0.6807557658679622, ""colsample_bytree"": 0.745588138330948, ""min_child_samples"": 12, ""reg_alpha"": 2.546244562514244e-07, ""reg_lambda"": 0.003994614670533562}",0.8388772271069654
lightgbm,2,"{""n_estimators"": 459, ""learning_rate"": 0.19537738945627034, ""max_depth"": 3, ""num_leaves"": 49, ""subsample"": 0.6931890955587025, ""colsample_bytree"": 0.5220148423290506, ""min_child_samples"": 49, ""reg_alpha"": 0.1586283819191011, ""reg_lambda"": 1.4874309150698107e-05}",0.6752693556943874
lightgbm,3,"{""n_estimators"": 440, ""learning_rate"": 0.09842988913810916, ""max_depth"": 5, ""num_leaves"": 108, ""subsample"": 0.9130483416891573, ""colsample_bytree"": 0.7219152931543273, ""min_child_samples"": 40, ""reg_alpha"": 0.5486918380789033, ""reg_lambda"": 6.377129583293901e-08}",0.6456699184501601
lightgbm,4,"{""n_estimators"": 189, ""learning_rate"": 0.16030693528410525, ""max_depth"": 5, ""num_leaves"": 46, ""subsample"": 0.864612251139314, ""colsample_bytree"": 0.622327876891408, ""min_child_samples"": 43, ""reg_alpha"": 0.6444648704344791, ""reg_lambda"": 1.2482531066309667e-07}",0.6001919644089613
lightgbm,5,"{""n_estimators"": 328, ""learning_rate"": 0.021566345166952862, ""max_depth"": 6, ""num_leaves"": 23, ""subsample"": 0.8694323242015991, ""colsample_bytree"": 0.6913331945129451, ""min_child_samples"": 32, ""reg_alpha"": 1.588523795734658e-06, ""reg_lambda"": 0.050234976732889194}",0.5591935814013901
lightgbm,6,"{""n_estimators"": 266, ""learning_rate"": 0.04747590747068065, ""max_depth"": 4, ""num_leaves"": 12, ""subsample"": 0.6285528179525146, ""colsample_bytree"": 0.9024196500651713, ""min_child_samples"": 6, ""reg_alpha"": 8.018112209057744, ""reg_lambda"": 0.00014257270867186573}",0.5762204013195994
lightgbm,7,"{""n_estimators"": 468, ""learning_rate"": 0.01670159062784729, ""max_depth"": 8, ""num_leaves"": 105, ""subsample"": 0.9030918046672988, ""colsample_bytree"": 0.7835206266091119, ""min_child_samples"": 33, ""reg_alpha"": 9.526312594638082e-07, ""reg_lambda"": 1.6770726245542266e-06}",0.5658438011328373
lightgbm,8,"{""n_estimators"": 283, ""learning_rate"": 0.22222508658660042, ""max_depth"": 5, ""num_leaves"": 11, ""subsample"": 0.9192554006442127, ""colsample_bytree"": 0.9618812405080612, ""min_child_samples"": 47, ""reg_alpha"": 0.00024449019715047014, ""reg_lambda"": 1.5650334371097683e-08}",0.7183875104758256
lightgbm,9,"{""n_estimators"": 253, ""learning_rate"": 0.013054289430677728, ""max_depth"": 6, ""num_leaves"": 25, ""subsample"": 0.668646042903235, ""colsample_bytree"": 0.9130879282867864, ""min_child_samples"": 28, ""reg_alpha"": 1.896660979395932e-08, ""reg_lambda"": 9.412830816427771e-05}",0.5503121531676635
lightgbm,10,"{""n_estimators"": 54, ""learning_rate"": 0.010007894940900956, ""max_depth"": 7, ""num_leaves"": 72, ""subsample"": 0.5202769701658414, ""colsample_bytree"": 0.8584702179935676, ""min_child_samples"": 18, ""reg_alpha"": 0.00018439383703876302, ""reg_lambda"": 1.6300128256247761}",0.6091578411795376
lightgbm,11,"{""n_estimators"": 360, ""learning_rate"": 0.027551884913219908, ""max_depth"": 7, ""num_leaves"": 37, ""subsample"": 0.7966348179238423, ""colsample_bytree"": 0.830245514986443, ""min_child_samples"": 23, ""reg_alpha"": 3.520091240184352e-08, ""reg_lambda"": 0.02215056373134293}",0.6191807991242705
lightgbm,12,"{""n_estimators"": 341, ""learning_rate"": 0.022977976295670777, ""max_depth"": 7, ""num_leaves"": 66, ""subsample"": 0.9898776699521789, ""colsample_bytree"": 0.9746749055516192, ""min_child_samples"": 28, ""reg_alpha"": 1.2433754956072802e-08, ""reg_lambda"": 0.23373769337254272}",0.5787877685956464
lightgbm,13,"{""n_estimators"": 135, ""learning_rate"": 0.011532703706289388, ""max_depth"": 6, ""num_leaves"": 27, ""subsample"": 0.7841065245386593, ""colsample_bytree"": 0.6414991289616376, ""min_child_samples"": 36, ""reg_alpha"": 1.242474449651617e-05, ""reg_lambda"": 0.0013028621496961477}",0.5600693692857144
lightgbm,14,"{""n_estimators"": 349, ""learning_rate"": 0.04290170672599204, ""max_depth"": 6, ""num_leaves"": 67, ""subsample"": 0.5622112830750974, ""colsample_bytree"": 0.5141118166218149, ""min_child_samples"": 23, ""reg_alpha"": 8.678734757615535e-06, ""reg_lambda"": 7.198631558406925}",0.5720586692260496
lightgbm,15,"{""n_estimators"": 150, ""learning_rate"": 0.018057311575817348, ""max_depth"": 6, ""num_leaves"": 127, ""subsample"": 0.7462326603380148, ""colsample_bytree"": 0.6976530854585532, ""min_child_samples"": 27, ""reg_alpha"": 0.0035668584169067682, ""reg_lambda"": 7.680600420534161e-05}",0.544527300418428
lightgbm,16,"{""n_estimators"": 140, ""learning_rate"": 0.014931492946752013, ""max_depth"": 8, ""num_leaves"": 128, ""subsample"": 0.7444291888199607, ""colsample_bytree"": 0.9111120669817029, ""min_child_samples"": 19, ""reg_alpha"": 0.009816173244606829, ""reg_lambda"": 6.955212104387e-05}",0.5551519203537691
lightgbm,17,"{""n_estimators"": 84, ""learning_rate"": 0.03192559418739998, ""max_depth"": 4, ""num_leaves"": 128, ""subsample"": 0.5914404081523397, ""colsample_bytree"": 0.8010297508973541, ""min_child_samples"": 27, ""reg_alpha"": 0.0046866855488588285, ""reg_lambda"": 7.043975398594838e-06}",0.548546008625665
lightgbm,18,"{""n_estimators"": 98, ""learning_rate"": 0.07582048403337609, ""max_depth"": 4, ""num_leaves"": 128, ""subsample"": 0.5886321235750829, ""colsample_bytree"": 0.7788943521215825, ""min_child_samples"": 13, ""reg_alpha"": 0.005339562276526211, ""reg_lambda"": 6.044642786863981e-06}",0.6034462696573764
lightgbm,19,"{""n_estimators"": 67, ""learning_rate"": 0.03383112493288207, ""max_depth"": 3, ""num_leaves"": 113, ""subsample"": 0.5187632408326359, ""colsample_bytree"": 0.5713176918844683, ""min_child_samples"": 24, ""reg_alpha"": 0.0026110751376048624, ""reg_lambda"": 0.0010776499140667801}",0.5482994048945306
