team_a,team_b,p_bma,p_stack,p_risk_adaptive,ensemble_prob
Nebraska,Texas Tech,0.3412698412698412,0.34986175307725853,0.3412698412698412,0.34521622378803457
Nebraska,Tennessee,0.3412698412698412,0.34986175307725853,0.3412698412698412,0.34521622378803457
Nebraska,Kansas,0.5067632850241546,0.4834592403088548,0.5067632850241546,0.49605941879169846
Nebraska,BYU,0.7886590304694048,0.7061081974042462,0.7886590304694048,0.7507423046262229
Nebraska,North Carolina,0.7549019607843137,0.682148487267653,0.7549019607843137,0.7214852960815719
Nebraska,Wisconsin,0.5067632850241546,0.4834592403088548,0.5067632850241546,0.49605941879169846
Nebraska,Iowa,0.5289855072463768,0.5020326365348401,0.5289855072463768,0.5166056853656041
Nebraska,Utah St.,0.7766410912190963,0.6976991338173574,0.7766410912190963,0.7403819712903696
Nebraska,Kentucky,0.6884057971014492,0.6321101032767006,0.6884057971014492,0.6625484155385053
Nebraska,Saint Louis,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Nebraska,Ohio St.,0.4857142857142857,0.4659076407905206,0.4857142857142857,0.4766168230047953
Nebraska,UCLA,0.5289855072463768,0.5020326365348401,0.5289855072463768,0.5166056853656041
Nebraska,Miami (FL),0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Nebraska,Georgia,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Nebraska,Clemson,0.5507246376811594,0.5201971960625769,0.5507246376811594,0.5367029665293747
Nebraska,Villanova,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Nebraska,SMU,0.6666666666666666,0.615047065576643,0.6666666666666666,0.6429570784046081
Nebraska,TCU,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Nebraska,Auburn,0.5632992327365729,0.5306828951591369,0.5632992327365729,0.5483181031220945
Nebraska,Santa Clara,0.5507246376811594,0.5201971960625769,0.5507246376811594,0.5367029665293747
Nebraska,Indiana,0.5499163169606636,0.5195224455874585,0.5499163169606636,0.5359559964480758
Nebraska,Texas,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Nebraska,Texas A&M,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Nebraska,VCU,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Nebraska,San Diego St.,0.8272946859903382,0.7321907370317208,0.8272946859903382,0.7836121424547501
Nebraska,New Mexico,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Nebraska,Oklahoma,0.5632992327365729,0.5306828951591369,0.5632992327365729,0.5483181031220945
Nebraska,Cincinnati,0.5079365079365079,0.48443913155558194,0.5079365079365079,0.4971438418277796
Nebraska,Tulsa,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Nebraska,Baylor,0.5632992327365729,0.5306828951591369,0.5632992327365729,0.5483181031220945
Nebraska,UCF,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Nebraska,Akron,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Nebraska,Seton Hall,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Nebraska,Virginia Tech,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Nebraska,Washington,0.5632992327365729,0.5306828951591369,0.5632992327365729,0.5483181031220945
Nebraska,Missouri,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Nebraska,West Virginia,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Nebraska,Boise St.,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Nebraska,Stanford,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Nebraska,Florida St.,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Nebraska,Belmont,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Nebraska,Miami (OH),0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Nebraska,Northwestern,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Nebraska,Yale,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Nebraska,Wake Forest,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Nebraska,California,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Vanderbilt,Louisville,0.5067632850241546,0.4834592403088548,0.5067632850241546,0.49605941879169846
Vanderbilt,Arkansas,0.7549019607843137,0.682148487267653,0.7549019607843137,0.7214852960815719
Vanderbilt,Alabama,0.7549019607843137,0.682148487267653,0.7549019607843137,0.7214852960815719
Vanderbilt,Texas Tech,0.5067632850241546,0.4834592403088548,0.5067632850241546,0.49605941879169846
Vanderbilt,Tennessee,0.4857142857142857,0.4659076407905206,0.4857142857142857,0.4766168230047953
Vanderbilt,Kansas,0.6666666666666666,0.615047065576643,0.6666666666666666,0.6429570784046081
Vanderbilt,BYU,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Vanderbilt,North Carolina,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Vanderbilt,Wisconsin,0.6666666666666666,0.615047065576643,0.6666666666666666,0.6429570784046081
Vanderbilt,Iowa,0.5632992327365729,0.5306828951591369,0.5632992327365729,0.5483181031220945
Vanderbilt,Utah St.,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Vanderbilt,Kentucky,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Vanderbilt,Saint Louis,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Vanderbilt,Ohio St.,0.5507246376811594,0.5201971960625769,0.5507246376811594,0.5367029665293747
Vanderbilt,UCLA,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Vanderbilt,Miami (FL),0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Vanderbilt,Georgia,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Vanderbilt,Clemson,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Vanderbilt,Villanova,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Vanderbilt,SMU,0.6666666666666666,0.615047065576643,0.6666666666666666,0.6429570784046081
Vanderbilt,TCU,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Vanderbilt,Auburn,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Vanderbilt,Santa Clara,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Vanderbilt,Indiana,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Vanderbilt,Texas,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Vanderbilt,Texas A&M,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
Vanderbilt,VCU,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Vanderbilt,San Diego St.,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Vanderbilt,New Mexico,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Vanderbilt,Oklahoma,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Vanderbilt,Cincinnati,0.5632992327365729,0.5306828951591369,0.5632992327365729,0.5483181031220945
Vanderbilt,Tulsa,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Vanderbilt,Baylor,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Vanderbilt,UCF,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Vanderbilt,Akron,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Vanderbilt,Seton Hall,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Vanderbilt,Virginia Tech,0.8676470588235294,0.7578111604350182,0.8676470588235294,0.8171979295742878
Vanderbilt,Washington,0.7892156862745098,0.7064943722563336,0.7892156862745098,0.751220656199656
Vanderbilt,Missouri,0.8398692810457516,0.7403559151730074,0.8398692810457516,0.7941614320583182
