team_a,team_b,elastic_net_platt,elastic_net_isotonic,elastic_net_beta,elastic_net_venn_abers,gp_platt,gp_isotonic,gp_beta,gp_venn_abers,lightgbm_platt,lightgbm_isotonic,lightgbm_beta,lightgbm_venn_abers,xgboost_platt,xgboost_isotonic,xgboost_beta,xgboost_venn_abers
Michigan St.,Indiana,0.6681432909836785,0.7727272727272727,0.7219365203018535,0.7727272727272727,0.6695868608781724,0.8181818181818182,0.7272366353597359,0.8181818181818182,0.662757188442437,0.6808510638297872,0.7041990914259948,0.6808510638297872,0.693359134973966,0.717948717948718,0.7545783848996405,0.717948717948718
Michigan St.,Texas,0.7206421704102728,0.7727272727272727,0.7875542171529848,0.7727272727272727,0.7246742233610617,0.8181818181818182,0.8059921414339228,0.8181818181818182,0.6237777809574346,0.6808510638297872,0.6510277143456301,0.6808510638297872,0.7173961511284943,0.8529411764705882,0.7893906779874608,0.8529411764705882
Michigan St.,Texas A&M,0.6784908950121661,0.7727272727272727,0.7346937637236768,0.7727272727272727,0.6884451486346782,0.8181818181818182,0.7537897522776852,0.8181818181818182,0.771102686755072,0.9047619047619048,0.8739655401572562,0.9047619047619048,0.7895046781324253,0.97,0.8991220009395119,0.97
Michigan St.,VCU,0.7275909506702279,0.8571428571428571,0.7964816726920824,0.8571428571428571,0.7350306212156713,0.8181818181818182,0.8212299027105538,0.8181818181818182,0.7420661967762401,0.878796517837273,0.8242676449448448,0.878796517837273,0.7824516674210753,0.97,0.8880766087998782,0.97
Michigan St.,San Diego St.,0.7090741656190883,0.7727272727272727,0.7728539193059044,0.7727272727272727,0.6808304573061751,0.8181818181818182,0.7430206367467047,0.8181818181818182,0.5709734822452424,0.56,0.5828503698648264,0.56,0.6696706790864922,0.717948717948718,0.7210861890927829,0.717948717948718
Michigan St.,New Mexico,0.7387314770124804,0.8571428571428571,0.8109785257172185,0.8571428571428571,0.7420846314735202,0.8181818181818182,0.8316929827057287,0.8181818181818182,0.6762032037557637,0.6808510638297872,0.7232842731826431,0.6808510638297872,0.7648605017136045,0.8529411764705882,0.8607737184815898,0.8529411764705882
Michigan St.,Oklahoma,0.693363875086631,0.7727272727272727,0.7531477813643699,0.7727272727272727,0.7016377253044194,0.8181818181818182,0.7726083037118966,0.8181818181818182,0.6454098709674931,0.6808510638297872,0.6801715487209573,0.6808510638297872,0.753095835187111,0.8529411764705882,0.8427532036471073,0.8529411764705882
Michigan St.,Cincinnati,0.6396484152474843,0.7083333333333334,0.686996020582078,0.7083333333333334,0.617681278569675,0.631578947368421,0.655935522997079,0.631578947368421,0.5129531932711803,0.56,0.5110916267139822,0.56,0.6299958035645576,0.7142857142857143,0.6665788080581351,0.7142857142857143
Michigan St.,Tulsa,0.7704368890781442,0.8571428571428571,0.8539623087391561,0.8571428571428571,0.7776498319336943,0.8571428571428571,0.8854752100879525,0.8571428571428571,0.6154892236057325,0.6808510638297872,0.6400723792374549,0.6808510638297872,0.6759238868060399,0.717948717948718,0.7298530868041176,0.717948717948718
Michigan St.,Baylor,0.7218910642113573,0.7727272727272727,0.7891529080947268,0.7727272727272727,0.7355038552348664,0.8181818181818182,0.821929694069907,0.8181818181818182,0.5995150268611952,0.6808510638297872,0.6192482611070033,0.6808510638297872,0.6983333090166227,0.717948717948718,0.7617115167821079,0.717948717948718
Michigan St.,UCF,0.7418624357625694,0.8571428571428571,0.8150993942378596,0.8571428571428571,0.7569692206328565,0.8181818181818182,0.8539964797898459,0.8181818181818182,0.7106852984760549,0.7333333333333333,0.7744081909058153,0.7333333333333333,0.761422310383445,0.8529411764705882,0.8554860307366662,0.8529411764705882
Michigan St.,Akron,0.7765010685510897,0.8571428571428571,0.8625841218291518,0.8571428571428571,0.7774092065179565,0.8571428571428571,0.8851059090261109,0.8571428571428571,0.6530037351281947,0.6808510638297872,0.6906121044791425,0.6808510638297872,0.7734253229127465,0.8529411764705882,0.8740178022497201,0.8529411764705882
