year,favorite,underdog,adjoe_diff,adjde_diff,barthag_diff,sos_diff,wab_diff,adjt_diff,adjoe_ratio,adjde_ratio,barthag_ratio,sos_ratio,wab_ratio,adjt_ratio,favorite_win_flag
2013,Duke,Creighton,1.8840656562912983,-3.4381564735976013,0.03941352014600508,0.08568584323504458,4.004692221490192,2.566515819081104,1.016013996748641,0.96434668535418,1.0434153906798904,1.1330255269697482,2.113478107065672,1.0401760083607423,1
2012,Indiana,New Mexico State,13.395684788756839,-0.5750754527732056,0.18645794516177405,0.1870506049711943,7.608348627249207,-3.1951566490763668,1.1243064412516726,0.9941769776799897,1.2548156659836491,1.3787544415506254,-3.059250037176164,0.9542136676338732,1
2013,Wichita State,La Salle,-1.3691456594734603,-5.294057885598704,0.05499134847982834,0.010270279846112618,1.8594773029847729,-0.9817624353845247,0.987908983130988,0.9458250605687003,1.0650903125085984,1.0159418718126572,4.9281973449517515,0.9848188438919183,1
2012,Michigan,Ohio,7.82630445708979,2.032624288662376,0.07661961534711081,0.1948593312278064,5.790859658572202,-5.29089624361832,1.073215549688606,1.0214288543168235,1.0960066760782996,1.3724423435597766,13.967209499228517,0.9196235625657854,0
2012,Syracuse,Kansas State,8.325043199301106,-0.1257428050187741,0.07379911235243086,0.03610070107357277,8.700172768720428,-1.7055777877911424,1.076123605226976,0.9986502424698808,1.0854722447863108,1.054550833201466,5.1223930312698895,0.9742886218631298,1
2013,Arizona,Belmont,5.307673869983816,-3.669055565702422,0.11052643925009731,0.2115156731504535,4.2329167131947925,-0.531289058163253,1.0480995378050144,0.9623354976880326,1.1368788686162665,1.431618003306469,13.16218930850783,0.9919503648015698,1
2011,Syracuse,Marquette,-0.20983396712144042,-4.5907517656922465,0.05007585198758202,0.0189568399079858,5.394545269674241,-1.2279365866768472,0.9981782505597033,0.9530609115732526,1.0577071673531189,1.0271270999178483,10.096953423488022,0.9814348925880709,0
2012,Michigan State,Saint Louis,2.534365871544125,-2.576455679553817,0.03591144817110725,0.09198103627581355,5.804943740847246,3.42605040376656,1.0226786676896489,0.9716486327252137,1.0392407485790711,1.1483368201037167,3.092142739213121,1.0559551310225936,1
2014,Pittsburgh,Colorado,10.290164610226341,-1.99293539101825,0.15468976983581673,-0.0020646414091720633,1.7222892578568998,-3.136677769856888,1.0958179099126995,0.9793957842078673,1.201131376578455,0.9970017408046746,1.703599626261467,0.9517036192824215,1
2013,Miami (FL),Illinois,2.7606947224933975,-1.821169664161232,0.04883211768227347,-0.020482485620156976,3.9756438593780965,-3.0716110359511006,1.0249082225185124,0.9806763672918325,1.0563983366375556,0.9719112647969567,2.6710920708053623,0.9525573301938504,1
2014,Arizona,Gonzaga,2.487421910963633,-5.891406517628752,0.05782861255482308,0.07456401593546069,5.430940657123039,-2.178479511076503,1.0217727168659958,0.9372964077672346,1.063932323036596,1.1180805730239993,2.342483896684328,0.9662369308036087,1
2014,Kentucky,Kansas State,9.322609176997034,3.280562620422714,0.060206779859622084,0.061266682697293406,3.400891635594756,1.0965132623994123,1.0860163629215067,1.0350336511405374,1.0714119956956767,1.090803618596353,7.127003062056626,1.0174525189254158,1
2012,Wichita State,Virginia Commonwealth,9.415349759031429,0.45193430886172337,0.09032733728781228,0.07492860469699758,2.1126662333737407,0.7054553650703781,1.087695773539198,1.0048532268361303,1.1079035639442578,1.1395606302241796,1.9108750349817356,1.0108624998362505,0
2012,Kentucky,Louisville,17.829709971402792,4.033063458672331,0.06278869219366401,-0.03644054326910662,5.736171510364084,-0.5985105810604807,1.1687277252277084,1.0466819223701875,1.0689813319731947,0.9496196274209971,2.040075090589852,0.9909134195498117,1
